Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Name of Facility,Street Address,Total Fires
2015,110538,California State University-Chico,114600,1,Main Campus,17220,Shasta Hall,551 Citrus Ave,0
2015,110538,California State University-Chico,114600,1,Main Campus,17220,Estom Jamani,521 Legion Ave,0
2015,110538,California State University-Chico,114600,1,Main Campus,17220,Whitney Hall,545 Legion Ave,0
2015,110547,California State University-Dominguez Hills,114100,1,California State University Dominguez Hills,14635,University Housing - Phase 1 & 2,"1100 E. Victoria Street, Carso",0
2015,110574,California State University-East Bay,113800,1,Main Campus,15528,Calaveras,"1901 Harder Road, Hayward, CA",0
2015,110574,California State University-East Bay,113800,1,Main Campus,15528,Coloma,"1901 Harder Road, Hayward, CA",0
2015,110574,California State University-East Bay,113800,1,Main Campus,15528,Sierra,"1901 Harder Road, Haward, CA 9",0
2015,110574,California State University-East Bay,113800,1,Main Campus,15528,Sonora,"1901 Harder Road, Hayward, CA",0
2015,110574,California State University-East Bay,113800,1,Main Campus,15528,Mariposa,"1901 Harder Road, Hayward, CA",0
2015,110574,California State University-East Bay,113800,1,Main Campus,15528,Talmalpais,"1901 Harder Road, Hayward, CA",0
2015,110574,California State University-East Bay,113800,1,Main Campus,15528,Shasta,"1901 Harder Road, Hayward, CA",0
2015,110574,California State University-East Bay,113800,1,Main Campus,15528,Diablo,"1901 Harder Road, Hayward, CA",0
2015,110574,California State University-East Bay,113800,1,Main Campus,15528,Sequoia,"1901 Harder Road, Hayward, CA",0
2015,110574,California State University-East Bay,113800,1,Main Campus,15528,Juniper,"1901 Harder Road, Hayward, CA",0
2015,110574,California State University-East Bay,113800,1,Main Campus,15528,University Village,"25400 Carlos Bee Boulevard, Ha",1
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Aspen Hall,5150 N Barton Ave,0
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Baker Hall,5158 N Barton Ave,1
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Birch Hall,5162 N Barton Ave,0
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Cedar Hall,5037 N Barton Ave,0
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Graves Hall,5156 N Barton Ave,1
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Homan Hall,5154 N Barton Ave,0
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Ponderosa Hall,5152 N Barton Ave,0
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Sequoia Hall,5035 N Barton Ave,0
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Sycamore Hall,5160 N Barton Ave,0
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Beef Unit,2640 E. Portals Ave,0
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Horse Unit,5405 N. Price,0
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Swine Unit,2654 E. Portals,0
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Sheep Unit,2817 E Barstow,0
